catalog,group,name
1352,461,1 ранд
1354,461,1 ранд
1358,461,1 ранд
1359,461,1 ранд
1360,461,1 ранд
1361,461,1 ранд
1363,461,1 ранд
1364,461,1 унция
1365,461,1 флорин
1366,461,1 цент
1367,461,1 цент
1368,461,1 цент
1369,461,1 цент
1370,461,1 цент
1371,461,1 цент
1372,461,1 цент
1373,461,1 цент
1374,461,1 цент
1375,461,1 шиллинг
1376,461,1 шиллинг
1377,461,1 шиллинг
1378,461,1 шиллинг
1379,461,1/2 пенни
1380,461,1/2 пенни
1381,461,1/2 пенни
1382,461,1/2 цента
1383,461,1/2 цента
1384,461,1/2 цента
1385,461,1/2 цента
1387,605,1 экуэль
1388,605,10 экуэль
1390,605,75 песет
1392,605,2000 экуэль
1394,605,2000 экуэль
1395,605,1000 франков
1396,605,1000 франков
1399,605,1000 франков
1402,605,1000 франков
1403,605,1000 франков
1405,605,7000 франков
1406,605,7000 франков
1407,605,7000 франков
1412,605,7000 франков
1414,605,7000 франков
1416,605,7000 франков
1419,400,1 лек
1420,400,1 лек
1421,400,1 лек
1422,400,1 лек
1424,400,1 лек
1425,400,1 франк
1426,400,"0,50 лек"
1427,400,1/2 лека
1428,400,10 киндарка
1429,400,10 киндарка
1430,400,10 лек
1431,400,100 лек
1432,400,2 лека
1433,400,20 киндарка
1434,400,20 киндарка
1435,400,20 лек
1437,400,5 киндарка
1438,400,5 лек
1439,400,5 лек
1440,400,5 лек
1441,400,5 лек
1442,400,50 киндарка
1443,400,50 лек
1452,385,50 центов
1453,434,1 доллар
1454,434,1 доллар
1455,434,1 доллар
1457,434,1 цент
1458,434,1 цент
1460,434,10 долларов
1462,434,10 долларов
1463,434,10 долларов
1464,434,10 центов
1465,434,10 центов
1468,434,25 долларов
1469,434,25 долларов
1470,434,25 центов
1472,434,25 центов
1473,434,5 долларов
1474,434,5 долларов
1475,434,5 долларов
1476,434,5 центов
1477,434,5 центов
1479,434,5 центов
1480,434,50 центов
1481,434,50 центов
1485,655,1000 франков
1486,655,1000 франков
1491,655,1000 франков
1500,655,1000 франков
1501,655,1000 франков
1505,655,1000 франков
1508,655,500 франков
1511,655,6000 франков
1512,655,6000 франков
1514,555,1 марка
1515,555,2 марки
1516,555,5 марок
1517,555,500 динар
1518,555,500 динар
1519,555,500 динар
1520,555,500 динар
1521,555,500 динар
1522,555,500 динар
1523,432,1 пул
1524,432,1 пул
1525,432,1 тебе
1526,432,50 тебе
1527,432,50 тебе
1528,432,5 тебе
1529,432,5 тебе
1530,432,25 тебе
1531,432,25 тебе
1533,432,5 пул
1534,432,5 пул
1535,432,10 пул
1536,432,1 пул
